# CC-CEDICT derived pinyin index; fields: pinyin\tsimplified\ttraditional
a	啊	啊
a	呵	呵
a	阿	阿
a	A	A
a	吖	吖
a	嗄	嗄
a	腌	腌
a	锕	錒
aazhi	AA制	AA制
aba	阿爸	阿爸
aba	阿坝	阿壩
abafu	阿爸父	阿爸父
abagaqi	阿巴嘎旗	阿巴嘎旗
abalaqiya	阿巴拉契亚	阿巴拉契亞
abasi	阿巴斯	阿巴斯
abasiwangchao	阿拔斯王朝	阿拔斯王朝
abaxian	阿坝县	阿壩縣
abazangzuqiangzuzizhizhou	阿坝藏族羌族自治州	阿壩藏族羌族自治州
abazhou	阿坝州	阿壩州
abeibei	阿贝贝	阿貝貝
abeier	阿贝尔	阿貝爾
abi	阿比	阿比
abi	阿鼻	阿鼻
abian	阿扁	阿扁
abidiyu	阿鼻地狱	阿鼻地獄
abingge	阿兵哥	阿兵哥
abirang	阿比让	阿比讓
abixiniya	阿比西尼亚	阿比西尼亞
abixiniyaren	阿比西尼亚人	阿比西尼亞人
abiya	阿彼雅	阿彼雅
aboding	阿伯丁	阿伯丁
aboluo	阿波罗	阿波羅
aboluojihua	阿波罗计划	阿波羅計劃
abudabi	阿布达比	阿布達比
abudula	阿卜杜拉	阿卜杜拉
abuhazi	阿布哈兹	阿布哈茲
abujia	阿布贾	阿布賈
abulaitiabudurexiti	阿不来提·阿不都热西提	阿不來提·阿不都熱西提
abushayefu	阿布沙耶夫	阿布沙耶夫
abushuchun	阿布叔醇	阿布叔醇
abuzhabi	阿布扎比	阿布扎比
abzhi	AB制	AB制
acai	A菜	A菜
acg	ACG	ACG
achang	阿昌	阿昌
achangzu	阿昌族	阿昌族
acheng	阿城	阿城
achengqu	阿城区	阿城區
achufo	阿閦佛	阿閦佛
acihaimozheng	阿茨海默症	阿茨海默症
adabier	阿达比尔	阿達比爾
adan	阿丹	阿丹
adela	阿得拉	阿得拉
adelaer	阿得拉尔	阿得拉爾
adelaide	阿得莱德	阿得萊德
adelaide	阿德莱德	阿德萊德
adeleide	阿德雷德	阿德雷德
adi	阿弟	阿弟
adidasi	阿迪达斯	阿迪達斯
adie	阿爹	阿爹
ading	吖啶	吖啶
adingding	吖丁啶	吖丁啶
adiping	阿的平	阿的平
adisenshibing	阿狄森氏病	阿狄森氏病
adisiabeiba	阿迪斯阿贝巴	阿迪斯阿貝巴
adou	阿斗	阿斗
aduonisi	阿多尼斯	阿多尼斯
aduonuo	阿多诺	阿多諾
aerbaniya	阿尔巴尼亚	阿爾巴尼亞
aerbaniyaren	阿尔巴尼亚人	阿爾巴尼亞人
aerbeisi	阿尔卑斯	阿爾卑斯
aerbota	阿尔伯塔	阿爾伯塔
aerbote	阿尔伯特	阿爾伯特
aercihaimo	阿尔茨海默	阿爾茨海默
aercihaimobing	阿尔茨海默病	阿爾茨海默病
aercihaimoshibing	阿尔茨海默氏病	阿爾茨海默氏病
aercihaimoshizheng	阿尔茨海默氏症	阿爾茨海默氏症
aercihaimozheng	阿尔茨海默症	阿爾茨海默症
aerdusai	阿尔都塞	阿爾都塞
aerfa	阿尔法	阿爾法
aerfalizi	阿尔法粒子	阿爾法粒子
aerfaluomiou	阿尔法·罗密欧	阿爾法·羅密歐
aerfanan	阿尔法男	阿爾法男
aergaida	阿尔盖达	阿爾蓋達
aergesi	阿耳戈斯	阿耳戈斯
aergunqin	阿尔衮琴	阿爾袞琴
aerhangeersikezhou	阿尔汉格尔斯克州	阿爾漢格爾斯克州
aerjiawei	阿尔加维	阿爾加維
aerjier	阿尔及尔	阿爾及爾
aerjiliya	阿尔及利亚	阿爾及利亞
aerjiliyaren	阿尔及利亚人	阿爾及利亞人
aerkantala	阿尔坎塔拉	阿爾坎塔拉
aerkate	阿尔卡特	阿爾卡特
aermeiliya	阿尔梅里亚	阿爾梅里亞
aersasi	阿尔萨斯	阿爾薩斯
aershan	阿尔山	阿爾山
aershanshi	阿尔山市	阿爾山市
aersitonggongsi	阿尔斯通公司	阿爾斯通公司
aertai	阿尔泰	阿爾泰
aertaishan	阿尔泰山	阿爾泰山
aertaishanmai	阿尔泰山脉	阿爾泰山脈
aertaixueji	阿尔泰雪鸡	阿爾泰雪雞
aertaiyu	阿尔泰语	阿爾泰語
aertaiziwan	阿尔泰紫菀	阿爾泰紫菀
aertemisi	阿耳忒弥斯	阿耳忒彌斯
aerwasaite	阿尔瓦塞特	阿爾瓦塞特
afaer	阿法尔	阿法爾
afaershamo	阿法尔沙漠	阿法爾沙漠
afaluomiou	阿法罗密欧	阿法羅密歐
afanda	阿凡达	阿凡達
afanda	阿梵达	阿梵達
afanti	阿凡提	阿凡提
afei	阿飞	阿飛
afeilijia	阿非利加	阿非利加
afeilijiazhou	阿非利加洲	阿非利加洲
afuhan	阿富汗	阿富汗
afuhanyu	阿富汗语	阿富汗語
afujiadeluo	阿伏伽德罗	阿伏伽德羅
afujiadeluochangshu	阿伏伽德罗常数	阿伏伽德羅常數
afuleerhao	阿芙乐尔号	阿芙樂爾號
afuluodite	阿佛洛狄忒	阿佛洛狄忒
afuluodite	阿弗洛狄忒	阿弗洛狄忒
afuluodite	阿芙罗狄忒	阿芙羅狄忒
afurong	阿芙蓉	阿芙蓉
agaida	阿盖达	阿蓋達
aganzhengzhuan	阿甘正传	阿甘正傳
age	阿哥	阿哥
agenidi	阿格尼迪	阿格尼迪
agenting	阿根廷	阿根廷
agong	阿公	阿公
agu	阿家	阿家
ahedisali	阿赫蒂萨里	阿赫蒂薩里
aheiyan	阿黑颜	阿黑顏
aheiyan	阿嘿颜	阿嘿顏
aheng	阿亨	阿亨
aheqi	阿合奇	阿合奇
aheqixian	阿合奇县	阿合奇縣
ahong	阿訇	阿訇
ahuatian	阿华田	阿華田
ahun	阿混	阿混
ahuo	A货	A貨
ai	哀	哀
ai	唉	唉
ai	捱	捱
ai	矮	矮
ai	埃	埃
ai	挨	挨
ai	㝵	㝵
ai	㤅	㤅
ai	僾	僾
ai	叆	靉
ai	哎	哎
ai	啀	嘊
ai	嗌	嗌
ai	嗳	噯
ai	壒	壒
ai	娭	娭
ai	嫒	嬡
ai	敳	敱
ai	暧	曖
ai	欸	欸
ai	毐	毐
ai	爱	愛
ai	瑷	璦
ai	癌	癌
ai	皑	皚
ai	瞹	瞹
ai	砹	砹
ai	硙	磑
ai	碍	礙
ai	艾	艾
ai	蔼	藹
ai	薆	薆
ai	銰	銰
ai	鑀	鑀
ai	锿	鎄
ai	隘	隘
ai	霭	靄
ai	餲	餲
ai	騃	騃
aiai	唉唉	唉唉
aiai	叆叆	靉靉
aiai	爱爱	愛愛
aiai	皑皑	皚皚
aiai	硙硙	磑磑
aiai	蔼蔼	藹藹
aiai	霭霭	靄靄
aiaohua	爱奥华	愛奧華
aiaoluosi	埃奥罗斯	埃奧羅斯
aiaoniyahai	爱奥尼亚海	愛奧尼亞海
aiaowa	艾奥瓦	艾奧瓦
aibanjie	矮半截	矮半截
aibanzi	挨板子	挨板子
aibian	挨边	挨邊
aibian	癌变	癌變
aibianr	挨边儿	挨邊兒
aibieliku	爱别离苦	愛別離苦
aibihu	艾比湖	艾比湖
aibingbisheng	哀兵必胜	哀兵必勝
aibiying	爱彼迎	愛彼迎
aibola	埃博拉	埃博拉
aibolabingdu	埃博拉病毒	埃博拉病毒
aibota	艾伯塔	艾伯塔
aibuluo	埃布罗	埃布羅
aibuluohe	埃布罗河	埃布羅河
aiburenshi	爱不忍释	愛不忍釋
aibushang	挨不上	挨不上
aibushishou	爱不释手	愛不釋手
aica	挨擦	挨擦
aicai	爱才	愛才
aicai	爱财	愛財
aicairuming	爱财如命	愛財如命
aicairuoke	爱才若渴	愛才若渴
aicao	艾草	艾草
aichao	爱巢	愛巢
aicheng	爱称	愛稱
aichou	哀愁	哀愁
aichouqiong	矮丑穷	矮醜窮
aici	挨次	挨次
aici	哀词	哀詞
aici	哀辞	哀辭
aiciba	爱词霸	愛詞霸
aicir	挨呲儿	挨呲兒
aicuo	矮矬	矮矬
aida	挨打	挨打
aidahe	爱达荷	愛達荷
aidai	爱戴	愛戴
aidai	叆叇	靉靆
aidaibing	矮呆病	矮呆病
aidao	哀悼	哀悼
aidashouma	挨打受骂	挨打受罵
aidashouqi	挨打受气	挨打受氣
aide	埃德	埃德
aide	爱德	愛德
aidehua	爱德华	愛德華
aidehuadaladi	爱德华·达拉第	愛德華·達拉第
aidehuadao	爱德华岛	愛德華島
aidehuawangzidao	爱德华王子岛	愛德華王子島
aidehuazi	爱德华兹	愛德華茲
aidejia	埃德加	埃德加
aidejiaailunpo	埃德加·爱伦·坡	埃德加·愛倫·坡
aidejiasinuo	埃德加·斯诺	埃德加·斯諾
aideling	爱德玲	愛德玲
aidemeng	埃德蒙	埃德蒙
aidemeng	爱德蒙	愛德蒙
aidemengboke	埃德蒙·伯克	埃德蒙·伯克
aidemengdun	埃德蒙顿	埃德蒙頓
aidemengdun	艾德蒙顿	艾德蒙頓
aidemilibande	埃德·米利班德	埃德·米利班德
aideng	矮凳	矮凳
aidengbao	艾登堡	艾登堡
aidesiquhuolai	爱得死去活来	愛得死去活來
aidesiwoer	爱德斯沃尔	愛德斯沃爾
aidi	霭滴	靄滴
aidi	艾迪	艾迪
aidicha	矮地茶	矮地茶
aidikala	埃迪卡拉	埃迪卡拉
aidikala	艾迪卡拉	艾迪卡拉
aidikalaji	埃迪卡拉纪	埃迪卡拉紀
aidimeidunshu	哀的美敦书	哀的美敦書
aidingbao	爱丁堡	愛丁堡
aidinghu	艾丁湖	艾丁湖
aidisheng	爱迪生	愛迪生
aidisheng	艾迪生	艾迪生
aidonghua	艾冬花	艾冬花
aidongshoue	挨冻受饿	挨凍受餓
aidou	爱豆	愛豆
aidou	挨斗	挨鬥
aidundun	矮墩墩	矮墩墩
aie	挨饿	挨餓
aierbota	艾尔伯塔	艾爾伯塔
aierbushang	哀而不伤	哀而不傷
aierduoan	埃尔多安	埃爾多安
aierfute	埃尔福特	埃爾福特
aierjin	埃尔金	埃爾金
aierjindalishi	埃尔金大理石	埃爾金大理石
aierlan	爱尔兰	愛爾蘭
aierlanggen	埃尔朗根	埃爾朗根
aierlanggengangling	埃尔朗根纲领	埃爾朗根綱領
aierlangongheguo	爱尔兰共和国	愛爾蘭共和國
aierlangonghejun	爱尔兰共和军	愛爾蘭共和軍
aierlanhai	爱尔兰海	愛爾蘭海
aierlanren	爱尔兰人	愛爾蘭人
aierlanyu	爱尔兰语	愛爾蘭語
aiermitaji	艾尔米塔奇	艾爾米塔奇
aiermitashi	艾尔米塔什	艾爾米塔什
aiernandesi	埃尔南德斯	埃爾南德斯
aierninuo	埃尔尼诺	埃爾尼諾
aierpasuo	埃尔帕索	埃爾帕索
aierri	爱耳日	愛耳日
aierweisipuleisili	埃尔维斯·普雷斯利	埃爾維斯·普雷斯利
aieshoudong	挨饿受冻	挨餓受凍
aifa	挨罚	挨罰
aifeiertieta	埃菲尔铁塔	埃菲爾鐵塔
aifeiertieta	艾菲尔铁塔	艾菲爾鐵塔
aifeng	爱疯	愛瘋
aifu	嗳腐	噯腐
aifu	爱抚	愛撫
aifuboli	埃夫伯里	埃夫伯里
aifudun	埃弗顿	埃弗頓
aifutunsuan	嗳腐吞酸	噯腐吞酸
aigang	爱港	愛港
aigangjingye	爱岗敬业	愛崗敬業
aiganpinzhong	矮杆品种	矮桿品種
aigao	哀告	哀告
aigaobinfu	哀告宾服	哀告賓服
aige	哀歌	哀歌
aige	挨个	挨個
aigeersong	埃格尔松	埃格爾松
aigenisishimotelai	艾格尼丝·史沫特莱	艾格尼絲·史沫特萊
aiger	矮个儿	矮個兒
aiger	挨个儿	挨個兒
aigu	隘谷	隘谷
aigua	矮瓜	矮瓜
aiguo	爱国	愛國
aiguorujia	爱国如家	愛國如家
aiguoweishengyundongweiyuanhui	爱国卫生运动委员会	愛國衛生運動委員會
aiguozhe	爱国者	愛國者
aiguozhuyi	爱国主义	愛國主義
aihamaidabade	艾哈迈达巴德	艾哈邁達巴德
aihamaide	艾哈迈德	艾哈邁德
aihamaidineijiade	艾哈迈迪内贾德	艾哈邁迪內賈德
aihao	爱好	愛好
aihao	哀号	哀號
aihao	哀嚎	哀嚎
aihao	艾蒿	艾蒿
aihaozhe	爱好者	愛好者
aihe	爱河	愛河
aihehua	爱荷华	愛荷華
aiheiren	矮黑人	矮黑人
aihenjiaojia	爱恨交加	愛恨交加
aihenjiaozhi	爱恨交织	愛恨交織
aihongbianye	哀鸿遍野	哀鴻遍野
aihu	挨户	挨戶
aihu	艾虎	艾虎
aihu	爱护	愛護
aihua	矮化	矮化
aihui	爱辉	愛輝
aihuiguli	哀毁骨立	哀毀骨立
aihuijili	哀毁瘠立	哀毀瘠立
aihuiqu	爱辉区	愛輝區
aihuntiaoyue	瑷珲条约	璦琿條約
aiji	埃及	埃及
aiji	挨挤	挨擠
aijia	哀家	哀家
aijia	挨家	挨家
aijiaaihu	挨家挨户	挨家挨戶
aijiadiqundao	埃加迪群岛	埃加迪群島
aijiancabei	挨肩擦背	挨肩擦背
aijiang	爱将	愛將
aijiangnanfu	哀江南赋	哀江南賦
aijianr	挨肩儿	挨肩兒
aijiaobaihuashelicao	矮脚白花蛇利草	矮腳白花蛇利草
aijiaokuhao	矮脚苦蒿	矮腳苦蒿
aijiaoluosan	矮脚罗伞	矮腳羅傘
aijidie	挨饥抵饿	挨飢抵餓
aijidou	埃及豆	埃及豆
aijie	唉姐	唉姐
aijie	娭姐	娭姐
aijiguwuxue	埃及古物学	埃及古物學
aijin	挨近	挨近
aijin	哀矜	哀矜
aijing	爱经	愛經
aijingzhushagen	矮茎朱砂根	矮莖朱砂根
aijiu	艾酒	艾酒
aijiu	艾灸	艾灸
aijixue	埃及学	埃及學
aijiyeying	埃及夜鹰	埃及夜鷹
aiju	埃居	埃居
aijuan	艾卷	艾卷
aikei	挨剋	挨剋
aikesiguang	爱克斯光	愛克斯光
aikesishexian	爱克斯射线	愛克斯射線
aiketuo	埃克托	埃克托
aiketuoboliaozi	埃克托·柏辽兹	埃克托·柏遼茲
aikou	碍口	礙口
aikou	隘口	隘口
aikoushixiu	碍口识羞	礙口識羞
aiku	哀哭	哀哭
aikugui	爱哭鬼	愛哭鬼
ailao	艾老	艾老
ailate	埃拉特	埃拉特
ailatuositeni	埃拉托斯特尼	埃拉托斯特尼
ailei	埃蕾	埃蕾
ailian	哀怜	哀憐
ailian	爱怜	愛憐
ailian	爱恋	愛戀
ailibuli	爱理不理	愛理不理
ailin	矮林	矮林
ailinna	埃琳娜	埃琳娜
ailishegong	爱丽舍宫	愛麗舍宮
ailisi	爱丽丝	愛麗絲
ailisi	爱莉丝	愛莉絲
ailisidao	埃利斯岛	埃利斯島
ailisimanyouqijingji	爱丽丝漫游奇境记	愛麗絲漫遊奇境記
ailisiquan	爱丽丝泉	愛麗絲泉
ailisiquan	爱丽斯泉	愛麗斯泉
ailiugenna	爱留根纳	愛留根納
ailiwen	埃里温	埃里溫
ailixin	爱立信	愛立信
ailu	矮鹿	矮鹿
ailu	隘路	隘路
ailuoxianke	爱罗先珂	愛羅先珂
ailv	爱侣	愛侶
ailvete	艾略特	艾略特
aima	挨骂	挨罵
aima	爱玛	愛瑪
aimaniuaier	艾玛纽埃尔	艾瑪紐埃爾
aimanta	埃曼塔	埃曼塔
aimanta	艾曼塔	艾曼塔
aimashi	爱马仕	愛馬仕
aimawotesen	爱玛·沃特森	愛瑪·沃特森
aimei	爱美	愛美
aimei	暧昧	曖昧
aimeiguanxi	暧昧关系	曖昧關係
aimeijiang	艾美奖	艾美獎
aimeizhixinrenjieyouzhi	爱美之心，人皆有之	愛美之心，人皆有之
aimen	挨门	挨門
aimenaihu	挨门挨户	挨門挨戶
aimi	埃米	埃米
aimianzi	爱面子	愛面子
aimianzi	碍面子	礙面子
aimier	埃米尔	埃米爾
aimier	艾弥尔	艾彌爾
aimin	爱民	愛民
aimin	哀悯	哀憫
aiming	哀鸣	哀鳴
aiminqu	爱民区	愛民區
aiminruzi	爱民如子	愛民如子
aimodayuxinsi	哀莫大于心死	哀莫大於心死
aimoliweier	爱莫利维尔	愛莫利維爾
aimonengzhu	爱莫能助	愛莫能助
aimosheng	爱默生	愛默生
aimu	爱慕	愛慕
aimuxurong	爱慕虚荣	愛慕虛榮
ainai	欸乃	欸乃
ainan	碍难	礙難
ainancongming	碍难从命	礙難從命
ainaxiang	艾纳香	艾納香
aini	爱昵	愛昵
ainieasi	埃涅阿斯	埃涅阿斯
ainieasiji	埃涅阿斯纪	埃涅阿斯紀
ainu	爱奴	愛奴
aipang	矮胖	矮胖
aipi	挨批	挨批
aipian	艾片	艾片
aipiaoliang	爱漂亮	愛漂亮
aiping	哀平	哀平
aipusheng	爱普生	愛普生
aipuxilong	艾普西隆	艾普西隆
aiqi	哀戚	哀戚
aiqi	哀启	哀啟
aiqi	哀泣	哀泣
aiqi	嗳气	噯氣
aiqianqi	癌前期	癌前期
aiqifuchou	嗳气腐臭	噯氣腐臭
aiqing	爱情	愛情
aiqing	艾青	艾青
aiqingpian	爱情片	愛情片
aiqingxiju	爱情喜剧	愛情喜劇
aiqinhai	爱琴海	愛琴海
aiqiouni	嗳气呕逆	噯氣嘔逆
aiqisuanfu	嗳气酸腐	噯氣酸腐
aiqitunsuan	嗳气吞酸	噯氣吞酸
aiqiu	哀求	哀求
aiqixun	艾奇逊	艾奇遜
aiqiyi	爱奇艺	愛奇藝
aiquan	哀劝	哀勸
aiquan	爱犬	愛犬
airan	蔼然	藹然
airen	矮人	矮人
airen	爱人	愛人
